,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
531,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k
778,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k
14,Financial Markets,Yale University,COURSE,4.8,Beginner,470k
259,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k
682,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k
356,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k
382,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k
366,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k
552,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k
113,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k
102,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k
851,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k
337,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k
721,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k
775,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k
313,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k
209,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k
569,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k
32,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k
521,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k
203,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k
698,From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k
863,Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k
501,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k
790,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k
441,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k
295,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k
164,Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k
581,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k
425,Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k
162,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k
130,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k
415,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k
633,Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k
77,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k
475,Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k
520,Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k
742,Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k
857,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k
724,Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k
388,Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k
705,Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k
370,Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k
145,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k
115,G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k
286,"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k
206,Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k
141,Game Theory,Stanford University,COURSE,4.6,Beginner,260k
268,Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k
802,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k
76,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k
79,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k
694,Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k
567,Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k
650,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k
540,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k
681,Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k
568,Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k
734,Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k
422,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k
411,Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k
538,Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k
192,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k
400,Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k
643,Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k
578,Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k
835,Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k
761,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k
740,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k
717,"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k
355,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k
227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k
849,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k
385,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k
513,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k
287,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k
369,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k
757,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k
710,Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k
329,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k
231,Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k
785,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k
803,Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k
429,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k
244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k
739,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k
373,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k
423,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k
596,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k
845,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k
700,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k
177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k
554,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k
767,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k
609,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k
52,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k
34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k
571,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k
12,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k
408,IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k
98,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k
476,IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k
856,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k
562,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k
640,Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k
36,Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k
123,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k
748,Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k
318,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k
110,Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k
572,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k
401,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5,Intermediate,1.6k
805,Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k
224,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k
549,Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k
537,Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k
485,Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k
169,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k
365,Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k
747,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k
673,Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k
219,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k
184,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k
443,Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k
345,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k
837,Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k
171,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k
120,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k
128,Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k
762,Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k
451,International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k
701,International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k
404,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k
579,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k
280,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k
228,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k
615,International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k
346,International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k
447,International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k
193,International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k
593,International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k
667,Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k
834,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k
582,Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k
495,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k
327,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k
844,Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k
830,Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k
427,Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k
862,Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k
608,Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k
620,Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k
713,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k
664,Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k
412,Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k
879,Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k
421,Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k
594,Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k
780,Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k
254,Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k
336,Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130k
723,Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k
183,Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k
469,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k
548,Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99k
1,Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k
187,Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k
253,Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k
196,Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k
745,Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110k
649,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k
628,Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k
511,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k
204,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k
377,Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k
850,Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79k
499,Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74k
878,Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42k
